"j","k","method","ISE_MC"
5,20,"NW",0.00907300500729333
6,7,"LL",0.000799511213440061
6,7,"NW",0.00765375457849725
6,10,"LL",0.000342460880009273
6,10,"NW",0.00745242727757757
6,14,"LL",0.000209088160231563
6,14,"NW",0.00381031906512762
6,20,"LL",0.000138887792458697
6,20,"NW",0.0054822061695164
1,7,"LL",0.000167944276169068
1,7,"NW",0.000253528209113813
1,10,"LL",6.04365099001081e-05
1,10,"NW",0.000260709916456981
1,14,"LL",3.8464595405793e-05
1,14,"NW",0.000334652898420979
1,20,"LL",2.66903611858197e-05
1,20,"NW",0.000285763181999198
2,7,"LL",4.30323485877585e-05
2,7,"NW",0.00174819484013844
2,10,"LL",2.72981093658814e-05
2,10,"NW",0.00132788589382819
2,14,"LL",2.36779361755975e-05
2,14,"NW",0.00123961408106389
2,20,"LL",9.92728676328392e-06
2,20,"NW",0.000810343744076749
3,7,"LL",0.000379601238682367
3,7,"NW",0.00369019753246976
3,10,"LL",0.000132003197345245
3,10,"NW",0.00360222140231768
3,14,"LL",0.000145979327012636
3,14,"NW",0.00311051006534557
3,20,"LL",6.90549271435896e-05
3,20,"NW",0.0026632671210382
4,7,"LL",0.000520356806142662
4,7,"NW",0.00237336443595085
4,10,"LL",0.000473278845768481
4,10,"NW",0.00154281591334739
4,14,"LL",0.00021999118488815
4,14,"NW",0.00311315840131337
4,20,"LL",0.000198082571379741
4,20,"NW",0.00224755892921422
5,7,"LL",0.000618936135804702
5,7,"NW",0.0218601796358641
5,10,"LL",0.000776856281181657
5,10,"NW",0.0160077826473318
5,14,"LL",0.000527870524051976
5,14,"NW",0.00851885702335122
5,20,"LL",0.000328264073171314
5,20,"NW",0.00927879948104303
6,7,"LL",0.00076989536249667
6,7,"NW",0.004721062309876
6,10,"LL",0.000304558256260033
6,10,"NW",0.00404481330099247
6,14,"LL",0.000151692325633643
6,14,"NW",0.00450591022198426
6,20,"LL",0.00013014703120267
6,20,"NW",0.00512699042677757
1,7,"LL",6.75382478736153e-05
1,7,"NW",0.000320107244205646
1,10,"LL",5.67335878588618e-05
1,10,"NW",0.000419828971538011
1,14,"LL",4.31224720946712e-05
1,14,"NW",0.000426152173140456
1,20,"LL",2.2494495538232e-05
1,20,"NW",0.000277795427510787
2,7,"LL",7.10188098872678e-05
2,7,"NW",0.000496893901024472
2,10,"LL",2.73008918326621e-05
2,10,"NW",0.000717732016467837
2,14,"LL",2.0322345050055e-05
2,14,"NW",0.0007245787688014
2,20,"LL",1.24494976257138e-05
2,20,"NW",0.000578258183032784
3,7,"LL",0.000211887110047029
3,7,"NW",0.00543907188084083
3,10,"LL",0.000149461066903495
3,10,"NW",0.00268354789217289
3,14,"LL",9.24622039293176e-05
3,14,"NW",0.00269884641458772
3,20,"LL",6.15496804886258e-05
3,20,"NW",0.00277218765235413
4,7,"LL",0.000676752981440184
4,7,"NW",0.00565722910982493
4,10,"LL",0.000373944910756984
4,10,"NW",0.00226063280857118
4,14,"LL",0.000267341934406623
4,14,"NW",0.00267673852135074
4,20,"LL",0.000187530089993545
4,20,"NW",0.00206630939733076
5,7,"LL",0.00249622582585795
5,7,"NW",0.0287277270618688
5,10,"LL",0.000782198322283026
5,10,"NW",0.0112993395135904
5,14,"LL",0.000564407120676231
5,14,"NW",0.0105564083181937
5,20,"LL",0.000266695028200165
5,20,"NW",0.00765531238031949
6,7,"LL",0.000578534446267792
6,7,"NW",0.0089203274068451
6,10,"LL",0.000314203218139204
6,10,"NW",0.00752398775534233
6,14,"LL",0.000200844862276927
6,14,"NW",0.00570762567797521
6,20,"LL",0.000118786353923747
6,20,"NW",0.00351064358606319
1,7,"LL",0.000203623109443206
1,7,"NW",0.000641854007362294
1,10,"LL",6.28171629885719e-05
1,10,"NW",0.00033484406872235
1,14,"LL",3.7055894909959e-05
1,14,"NW",0.000258100763084289
1,20,"LL",2.1911284589825e-05
1,20,"NW",0.000251422855759675
2,7,"LL",4.00503466259679e-05
2,7,"NW",0.00135435956615512
2,10,"LL",4.87681984216179e-05
2,10,"NW",0.00111089551700389
2,14,"LL",1.67946554270222e-05
2,14,"NW",0.00121975273764134
2,20,"LL",1.23025298974706e-05
2,20,"NW",0.000673257742942953
3,7,"LL",0.000220519302195285
3,7,"NW",0.00418527652852211
3,10,"LL",0.000243469287949519
3,10,"NW",0.00242969195952707
3,14,"LL",9.89840989252588e-05
3,14,"NW",0.00354979978167531
