"j","k","method","ISE_MC"
1,7,"GM",0.00146627371210669
1,7,"LL",0.000253299177087693
1,7,"NW",0.00088676579437118
1,10,"GM",0.00088252921291298
1,10,"LL",0.000180868455507327
1,10,"NW",0.000606055026929604
1,14,"GM",0.000781965945269241
1,14,"LL",0.000109132717349625
1,14,"NW",0.00035576444149946
2,7,"GM",0.00524831503035656
2,7,"LL",0.000850563011092791
2,7,"NW",0.00305538425811771
2,10,"GM",0.00494348881052674
2,10,"LL",0.00057500903933266
2,10,"NW",0.00187505044513204
2,14,"GM",0.00352499871249444
2,14,"LL",0.000356111531741419
2,14,"NW",0.00102882277577074
3,7,"GM",0.00383487790842523
3,7,"LL",0.000408746191190493
3,7,"NW",0.00167305673558845
3,10,"GM",0.00270572493432954
3,10,"LL",0.000247432947724854
3,10,"NW",0.0011520853556674
3,14,"GM",0.00229566297450227
3,14,"LL",0.000147982998256372
3,14,"NW",0.00061411218488819
1,7,"GM",0.00137927650672937
1,7,"LL",0.000308893913366423
1,7,"NW",0.000845855192751292
1,10,"GM",0.00100111853035072
1,10,"LL",0.000178103192866121
1,10,"NW",0.000601088539200556
1,14,"GM",0.00126726384345959
1,14,"LL",0.000106696384488662
1,14,"NW",0.000403519527974994
2,7,"GM",0.00551487597502036
2,7,"LL",0.000845421380796507
2,7,"NW",0.00312581626525494
2,10,"GM",0.00454046393628797
2,10,"LL",0.00057687923161043
2,10,"NW",0.00199069361284375
2,14,"GM",0.00417716109275983
2,14,"LL",0.000411210612897288
2,14,"NW",0.00102605961930297
3,7,"GM",0.00320338243477013
3,7,"LL",0.000409191222433885
3,7,"NW",0.00219906974250747
3,10,"GM",0.00325120570632108
3,10,"LL",0.000249817628137716
3,10,"NW",0.00130561699331499
3,14,"GM",0.00232204731699257
3,14,"LL",0.000145015825007624
3,14,"NW",0.000738371685944237
1,7,"GM",0.00145612406349027
1,7,"LL",0.000294521391293213
1,7,"NW",0.000891661978936153
1,10,"GM",0.00102567794137521
1,10,"LL",0.000180330649543316
1,10,"NW",0.000572405998946468
1,14,"GM",0.000716841982704345
1,14,"LL",0.000105124537037975
1,14,"NW",0.000404299820625315
2,7,"GM",0.00567380243015316
2,7,"LL",0.000886328077405526
2,7,"NW",0.00293343182441916
2,10,"GM",0.00405515626087066
2,10,"LL",0.00053369371867744
2,10,"NW",0.00198695407857178
2,14,"GM",0.00417280492800724
2,14,"LL",0.000401917788905215
2,14,"NW",0.00119242525956077
3,7,"GM",0.00475923334866399
3,7,"LL",0.000389597492543264
3,7,"NW",0.00204696212457588
3,10,"GM",0.00262789447173676
3,10,"LL",0.000256969518809121
3,10,"NW",0.00123118979237092
3,14,"GM",0.00236306978188643
3,14,"LL",0.000153147064521139
3,14,"NW",0.00068977970815121
1,7,"GM",0.00134647668724479
1,7,"LL",0.000283076595807717
1,7,"NW",0.000871151616574584
1,10,"GM",0.000972755584709411
1,10,"LL",0.000167943686255128
1,10,"NW",0.000574529110532576
1,14,"GM",0.000690488708713703
1,14,"LL",0.000104812923061966
1,14,"NW",0.000391800964165233
2,7,"GM",0.00598628960861858
2,7,"LL",0.0008362843968852
2,7,"NW",0.00330279109256471
2,10,"GM",0.00485938123539377
2,10,"LL",0.000631900948549727
2,10,"NW",0.0017790902906693
2,14,"GM",0.00382731627838844
2,14,"LL",0.000384035947797306
2,14,"NW",0.00107694500362364
3,7,"GM",0.00372485885892213
3,7,"LL",0.000408632731066605
3,7,"NW",0.00194601884684858
3,10,"GM",0.00276229296443456
3,10,"LL",0.000230944304768104
3,10,"NW",0.00123876679437685
3,14,"GM",0.00230654345622416
3,14,"LL",0.000152341584344354
3,14,"NW",0.000683963672899617
1,7,"GM",0.00143411091970186
1,7,"LL",0.000293754513175486
1,7,"NW",0.000931824453497608
1,10,"GM",0.00103682136463467
1,10,"LL",0.000160596421133206
1,10,"NW",0.000639337773317169
1,14,"GM",0.000895062030566526
1,14,"LL",0.000104143934761725
1,14,"NW",0.000381105198666944
2,7,"GM",0.00643136023155622
2,7,"LL",0.000858031223007036
2,7,"NW",0.0034118608215811
2,10,"GM",0.00440986376633009
2,10,"LL",0.000595370628366555
2,10,"NW",0.00183808596601978
2,14,"GM",0.00355809171028922
2,14,"LL",0.000410162396603369
2,14,"NW",0.00111705579123349
3,7,"GM",0.00349145079267456
3,7,"LL",0.00039322375680385
3,7,"NW",0.00196235565551622
3,10,"GM",0.00288148034338393
3,10,"LL",0.000232557654171216
3,10,"NW",0.00118249817155208
3,14,"GM",0.00227024016878056
3,14,"LL",0.000149170772774121
3,14,"NW",0.000666981366595306
1,7,"GM",0.00134400360026856
1,7,"LL",0.000286476804703193
1,7,"NW",0.000837755170680711
1,10,"GM",0.00117048498636954
1,10,"LL",0.000173106250862768
1,10,"NW",0.00059184327191136
1,14,"GM",0.00076949658174314
1,14,"LL",0.000114616506715605
1,14,"NW",0.000404892397726995
2,7,"GM",0.0056229460380795
2,7,"LL",0.000823068505343853
2,7,"NW",0.00347827032701462
2,10,"GM",0.00422341510702402
2,10,"LL",0.000592087287962248
2,10,"NW",0.00190950488323243
2,14,"GM",0.00335036938717725
2,14,"LL",0.00034762876393399
2,14,"NW",0.00115846430688509
3,7,"GM",0.00320275808134812
3,7,"LL",0.000407001466677624
3,7,"NW",0.00212882233679947
3,10,"GM",0.00320596068369509
3,10,"LL",0.000240057372628372
3,10,"NW",0.00123385305077711
3,14,"GM",0.00257648837298433
3,14,"LL",0.000145154296510445
3,14,"NW",0.000607106304058569
1,7,"GM",0.00156143680649673
1,7,"LL",0.00029247550729131
1,7,"NW",0.000864424252093648
1,10,"GM",0.00108437267033164
1,10,"LL",0.000165022253417204
1,10,"NW",0.000612141753046988
1,14,"GM",0.000965748171607185
1,14,"LL",0.000118537686997506
1,14,"NW",0.000364404523336381
2,7,"GM",0.00483409777280002
2,7,"LL",0.000866775808461503
2,7,"NW",0.00322154209877086
2,10,"GM",0.00477225212460802
2,10,"LL",0.000603645936259153
2,10,"NW",0.00180394796922235
2,14,"GM",0.00423533828497827
2,14,"LL",0.000388176606546632
2,14,"NW",0.00111158461412573
3,7,"GM",0.00374951987295362
3,7,"LL",0.000382338289312567
3,7,"NW",0.00209494511693815
3,10,"GM",0.0028482401323581
3,10,"LL",0.000239927316626094
3,10,"NW",0.0012581119617169
3,14,"GM",0.00224862707087136
3,14,"LL",0.000147458899337785
3,14,"NW",0.000609879953774059
1,7,"GM",0.00126472263589882
1,7,"LL",0.000306120802238934
1,7,"NW",0.000886225596008336
1,10,"GM",0.00117517571274945
1,10,"LL",0.000167446582151598
1,10,"NW",0.000604851465319976
1,14,"GM",0.00076187774414674
1,14,"LL",0.000110749241537049
1,14,"NW",0.000378150636204129
2,7,"GM",0.00524774366146323
2,7,"LL",0.000855865736371411
2,7,"NW",0.00315713603771905
2,10,"GM",0.00395842665635079
2,10,"LL",0.000578362931071619
2,10,"NW",0.00211700835190565
2,14,"GM",0.00425114678890464
2,14,"LL",0.000422473908416514
2,14,"NW",0.00106724859026844
3,7,"GM",0.00351252551237574
3,7,"LL",0.000386478071288347
3,7,"NW",0.00180856778248103
3,10,"GM",0.00326348757195812
3,10,"LL",0.000235728572382286
3,10,"NW",0.00128816586494027
3,14,"GM",0.00303075497372131
3,14,"LL",0.000143567490181111
3,14,"NW",0.000645277363428006
1,7,"GM",0.00126275720241734
1,7,"LL",0.000290219074202952
1,7,"NW",0.000904090262926435
1,10,"GM",0.00106896706033601
1,10,"LL",0.000173752469190418
1,10,"NW",0.000551627603116798
1,14,"GM",0.000749192235734282
1,14,"LL",0.000109385060847629
1,14,"NW",0.000360550420265813
2,7,"GM",0.00558644953228896
2,7,"LL",0.000895515705862434
2,7,"NW",0.00281223292554001
2,10,"GM",0.00525013261315797
2,10,"LL",0.000559796138087379
2,10,"NW",0.00178114672718919
2,14,"GM",0.00361439944192261
2,14,"LL",0.000388658158101317
2,14,"NW",0.00108491971050304
3,7,"GM",0.00362263796226469
3,7,"LL",0.000372177266418789
3,7,"NW",0.00210466170502456
3,10,"GM",0.00289571156147821
3,10,"LL",0.000226211994096378
3,10,"NW",0.00129542392582015
3,14,"GM",0.0026651289655133
3,14,"LL",0.000149180681561155
3,14,"NW",0.000610725872079052
1,7,"GM",0.0014379645546943
1,7,"LL",0.000269054030581334
1,7,"NW",0.000872311541441961
1,10,"GM",0.000977232688309492
1,10,"LL",0.000170070817881921
1,10,"NW",0.000585082834900104
1,14,"GM",0.00072417895197516
1,14,"LL",0.000104292055173311
1,14,"NW",0.000442726543146346
2,7,"GM",0.00601839618028959
2,7,"LL",0.000831723771950537
2,7,"NW",0.00302250145568654
2,10,"GM",0.00387257232270841
2,10,"LL",0.000577537658508459
2,10,"NW",0.00174221799065003
2,14,"GM",0.00383535912856388
2,14,"LL",0.000413549939679903
2,14,"NW",0.00121394188712007
3,7,"GM",0.00360426949075527
3,7,"LL",0.000389710767947277
3,7,"NW",0.00174803919773351
3,10,"GM",0.00277525152830569
3,10,"LL",0.00024370572711796
3,10,"NW",0.00116766501238649
3,14,"GM",0.00381858013739949
3,14,"LL",0.000163131213118619
3,14,"NW",0.000679338807952276
1,7,"GM",0.00116643666385641
1,7,"LL",0.000283755677501624
1,7,"NW",0.000893178599690566
1,10,"GM",0.0011059548601862
1,10,"LL",0.000182069560543671
1,10,"NW",0.000578198255112003
1,14,"GM",0.000929322051064173
1,14,"LL",0.000113805603710471
1,14,"NW",0.000384127535569513
2,7,"GM",0.00542327470576464
2,7,"LL",0.0008619292067836
2,7,"NW",0.00292180409325987
2,10,"GM",0.00468523256928802
2,10,"LL",0.000567035184888437
2,10,"NW",0.00190160826460537
2,14,"GM",0.00408789911567322
2,14,"LL",0.000424186530902959
2,14,"NW",0.00117771993904161
3,7,"GM",0.00419736685093756
3,7,"LL",0.000397246293229541
3,7,"NW",0.00216252025416406
3,10,"GM",0.00247183055246459
3,10,"LL",0.000229460122006732
3,10,"NW",0.00118135336700026
3,14,"GM",0.00281180301729405
3,14,"LL",0.000135206356204296
3,14,"NW",0.000751805457319041
1,7,"GM",0.00141558613910055
1,7,"LL",0.000276741682423847
1,7,"NW",0.000868072891432897
1,10,"GM",0.00111393343205666
1,10,"LL",0.000169680176408042
1,10,"NW",0.000588163861118514
1,14,"GM",0.000949172399841532
1,14,"LL",0.000118902391919991
1,14,"NW",0.000406129017686324
2,7,"GM",0.00607858356410607
2,7,"LL",0.000844816855508616
2,7,"NW",0.00307241466348478
2,10,"GM",0.00428655217535568
2,10,"LL",0.000634231179473186
2,10,"NW",0.00206193187300629
2,14,"GM",0.00331061420304701
2,14,"LL",0.000401756583055211
2,14,"NW",0.00120328803691353
3,7,"GM",0.00354524110993645
3,7,"LL",0.000403132729419268
3,7,"NW",0.00193655029107613
3,10,"GM",0.00381582910289995
3,10,"LL",0.000241124732632012
3,10,"NW",0.00112722613238082
3,14,"GM",0.00239477104723697
3,14,"LL",0.000143567817590026
3,14,"NW",0.000664220997057675
1,7,"GM",0.0012751916759248
1,7,"LL",0.000277774178280814
1,7,"NW",0.000834461606881695
1,10,"GM",0.00116231887458589
1,10,"LL",0.000167338768166062
1,10,"NW",0.000606497933291841
1,14,"GM",0.000717933411031907
1,14,"LL",0.000113433721935035
1,14,"NW",0.000383142171863515
2,7,"GM",0.00655678285927406
2,7,"LL",0.000891339427148404
2,7,"NW",0.00338705975635758
2,10,"GM",0.00450507110603719
2,10,"LL",0.000586619767689106
2,10,"NW",0.00197243682823918
2,14,"GM",0.00405375675835317
2,14,"LL",0.000393384950374884
2,14,"NW",0.00102581900682274
3,7,"GM",0.00504715614996299
3,7,"LL",0.000396175862388379
3,7,"NW",0.00194372075777993
3,10,"GM",0.00269877676488992
3,10,"LL",0.000223611918955917
3,10,"NW",0.00115048464782038
3,14,"GM",0.00278132346869064
3,14,"LL",0.000150918275320145
3,14,"NW",0.000617753587922552
1,7,"GM",0.00124095823894103
1,7,"LL",0.000294806455741673
1,7,"NW",0.00080012800643445
1,10,"GM",0.00107803514400172
1,10,"LL",0.000165321290864226
1,10,"NW",0.000583451168404179
1,14,"GM",0.000726978741801249
1,14,"LL",0.000118460140556813
1,14,"NW",0.000383505089494677
2,7,"GM",0.00626072795135541
2,7,"LL",0.000836751877727146
2,7,"NW",0.0028044271464084
2,10,"GM",0.00439959710826761
2,10,"LL",0.000598715713042622
2,10,"NW",0.00184178379876206
2,14,"GM",0.00387037758569417
2,14,"LL",0.000353143610388318
2,14,"NW",0.00106669181399319
3,7,"GM",0.0037506968412722
3,7,"LL",0.000364069693870613
3,7,"NW",0.00193970916064069
3,10,"GM",0.00427380019411734
3,10,"LL",0.000222754742074031
3,10,"NW",0.00113668178114517
3,14,"GM",0.00228148242909252
3,14,"LL",0.000137679103463304
3,14,"NW",0.00060181622719655
1,7,"GM",0.00158234326783637
1,7,"LL",0.0002833386766398
1,7,"NW",0.000844255032431344
1,10,"GM",0.00105528135252609
1,10,"LL",0.000171044918928546
1,10,"NW",0.000591047613278071
1,14,"GM",0.000742379382897591
1,14,"LL",0.000104800393191226
1,14,"NW",0.000390094353625833
2,7,"GM",0.00666840655348185
2,7,"LL",0.000808384242839677
2,7,"NW",0.00319076768745002
2,10,"GM",0.00465887611519183
2,10,"LL",0.00053984491899202
2,10,"NW",0.00198367058588843
2,14,"GM",0.00416141734927759
2,14,"LL",0.000385490355740971
2,14,"NW",0.00117967329271177
3,7,"GM",0.00368864797108189
3,7,"LL",0.000368643719577803
3,7,"NW",0.00189625826444567
3,10,"GM",0.00298213205056688
3,10,"LL",0.000225476512742038
3,10,"NW",0.00121816158342561
3,14,"GM",0.00289336282195296
3,14,"LL",0.000144505487380932
3,14,"NW",0.000672991014971276
1,7,"GM",0.00127297361103239
1,7,"LL",0.000266745238721
1,7,"NW",0.000895489048880518
1,10,"GM",0.00121442778551823
1,10,"LL",0.000178053410071827
1,10,"NW",0.000578675700791597
1,14,"GM",0.000777521278219498
1,14,"LL",0.000108428846561912
1,14,"NW",0.000357829744323898
2,7,"GM",0.00577426848562735
2,7,"LL",0.000903993791074416
2,7,"NW",0.00284835329380924
2,10,"GM",0.00468650325248696
2,10,"LL",0.000584826153135775
2,10,"NW",0.0021446768549803
2,14,"GM",0.00402416602255717
2,14,"LL",0.000367285953328267
2,14,"NW",0.00108496537314034
3,7,"GM",0.00364565106723344
3,7,"LL",0.000418735736740671
3,7,"NW",0.00222434747191226
3,10,"GM",0.00361896103859868
3,10,"LL",0.000230095419325945
3,10,"NW",0.00116153013551861
3,14,"GM",0.00265663933834397
3,14,"LL",0.000148845982593585
3,14,"NW",0.000664790968168813
1,7,"GM",0.0011985264578094
1,7,"LL",0.000302144732545687
1,7,"NW",0.00079876137550633
1,10,"GM",0.00116617811603677
1,10,"LL",0.000162622049827925
1,10,"NW",0.000591530647097723
1,14,"GM",0.000845926842450557
1,14,"LL",0.000110036719340726
1,14,"NW",0.000373544600680439
2,7,"GM",0.0056217600161102
2,7,"LL",0.000857145629204126
2,7,"NW",0.00282202019718211
2,10,"GM",0.00455959450088113
2,10,"LL",0.000560813458420124
2,10,"NW",0.00208532966189423
2,14,"GM",0.00337250489846152
2,14,"LL",0.000391952189275566
2,14,"NW",0.00109510530174616
3,7,"GM",0.00350006538673447
3,7,"LL",0.000402038855305485
3,7,"NW",0.00181913138081959
3,10,"GM",0.00295609930716288
3,10,"LL",0.00023558785336306
3,10,"NW",0.00114418686649484
3,14,"GM",0.00231917984066391
3,14,"LL",0.000151852267394055
3,14,"NW",0.00062242183039614
1,7,"GM",0.00124342763134746
1,7,"LL",0.000298994958468255
1,7,"NW",0.000847197009570025
1,10,"GM",0.00106148354662519
1,10,"LL",0.000168388983203357
1,10,"NW",0.000641368658832528
1,14,"GM",0.00104226153296957
1,14,"LL",0.000104577696263876
1,14,"NW",0.000350764825673516
2,7,"GM",0.00556321466828187
2,7,"LL",0.000749677584811653
2,7,"NW",0.00335514924243521
2,10,"GM",0.00421399909150562
2,10,"LL",0.000547900052074947
2,10,"NW",0.00200411340120645
2,14,"GM",0.00337892448197648
2,14,"LL",0.000382080068089972
2,14,"NW",0.00101209569363581
3,7,"GM",0.00336933760777904
3,7,"LL",0.000373838262882387
3,7,"NW",0.0018187768457731
3,10,"GM",0.00266421358075356
3,10,"LL",0.000228217949907575
3,10,"NW",0.00107590251626545
3,14,"GM",0.00230863771274538
3,14,"LL",0.000144025761423785
3,14,"NW",0.000636096554460144
1,7,"GM",0.00153199992935389
1,7,"LL",0.000272148846062975
1,7,"NW",0.000805141305737094
1,10,"GM",0.00126657515480302
1,10,"LL",0.000165615944173802
1,10,"NW",0.000604323501860848
1,14,"GM",0.000782900846842463
1,14,"LL",0.000103249698817568
1,14,"NW",0.000408775602739837
2,7,"GM",0.00842401123827569
2,7,"LL",0.000883972974161137
2,7,"NW",0.00312898057574347
2,10,"GM",0.00426466745836027
