"j","k","method","ISE_MC"
1,7,"GM",0.000509485567877371
1,7,"LL",4.06785455151751e-05
1,7,"NW",0.000251084560665328
1,10,"GM",0.000383507347061497
1,10,"LL",3.16692415405837e-05
1,10,"NW",0.0001802230034113
1,14,"GM",0.000342858750133442
1,14,"LL",2.2965570676693e-05
1,14,"NW",0.000120942536466476
2,7,"GM",0.00128723319168714
2,7,"LL",0.00022429798411196
2,7,"NW",0.000727856705552141
2,10,"GM",0.00142121625113088
2,10,"LL",0.00014450113887298
2,10,"NW",0.000542221302385214
2,14,"GM",0.00111036333926436
2,14,"LL",9.21057628073269e-05
2,14,"NW",0.000338319617965381
3,7,"GM",0.00250645494111882
3,7,"LL",0.00058576711189044
3,7,"NW",0.00127841885811092
3,10,"GM",0.00165837774578982
3,10,"LL",0.000363957097258278
3,10,"NW",0.000860357010754786
3,14,"GM",0.00224620485075019
3,14,"LL",0.000267516552073336
3,14,"NW",0.000498771862665672
1,7,"GM",0.000487389108047218
1,7,"LL",4.05916778319736e-05
1,7,"NW",0.000219858856387413
1,10,"GM",0.000398528712550038
1,10,"LL",3.24755962359897e-05
1,10,"NW",0.000168968146944062
1,14,"GM",0.000350098007938907
1,14,"LL",2.47336028275237e-05
1,14,"NW",0.000121677606441168
2,7,"GM",0.00130047358846924
2,7,"LL",0.000214443700600488
2,7,"NW",0.000760948926365195
2,10,"GM",0.00121525756416427
2,10,"LL",0.000138275186549534
2,10,"NW",0.000536582839998441
2,14,"GM",0.00120697638486047
2,14,"LL",8.79939788294587e-05
2,14,"NW",0.000280555888651145
3,7,"GM",0.00251060850454251
3,7,"LL",0.000593770281039515
3,7,"NW",0.00143311070444465
3,10,"GM",0.00187802840290105
3,10,"LL",0.000332825724567976
3,10,"NW",0.000790226952333899
3,14,"GM",0.00156628143067167
3,14,"LL",0.000251351602686046
3,14,"NW",0.000508806136887927
1,7,"GM",0.000483019896975174
1,7,"LL",4.03371363966775e-05
1,7,"NW",0.000220825787458046
1,10,"GM",0.000413801889890576
1,10,"LL",3.71134203315865e-05
1,10,"NW",0.000183031516569391
1,14,"GM",0.000480525337700757
1,14,"LL",2.28098151064012e-05
1,14,"NW",0.000120003502140231
2,7,"GM",0.00130091073974452
2,7,"LL",0.000205218015055994
2,7,"NW",0.000731435065133719
2,10,"GM",0.00120849047895015
2,10,"LL",0.0001422701791889
2,10,"NW",0.000520243827840574
2,14,"GM",0.000946066597622406
2,14,"LL",8.7288044338116e-05
2,14,"NW",0.000343500353667587
3,7,"GM",0.00253866457575081
3,7,"LL",0.000510566991574664
3,7,"NW",0.00158816093031164
3,10,"GM",0.00154925107444298
3,10,"LL",0.000398552316682853
3,10,"NW",0.000891399403702145
3,14,"GM",0.00226396395878919
3,14,"LL",0.000265298640379943
3,14,"NW",0.000488332509745111
1,7,"GM",0.000478460680402693
1,7,"LL",3.7789604849933e-05
1,7,"NW",0.000224083724414634
1,10,"GM",0.000396674681637415
1,10,"LL",3.47903293431266e-05
1,10,"NW",0.000173407910499583
1,14,"GM",0.000299690182640734
1,14,"LL",2.41616136231456e-05
1,14,"NW",0.000124882335148309
2,7,"GM",0.00133791350927637
2,7,"LL",0.000208333715237694
2,7,"NW",0.000760019633369068
2,10,"GM",0.0011454869636487
2,10,"LL",0.000130831807890594
2,10,"NW",0.000522936504897244
2,14,"GM",0.000985025659171278
2,14,"LL",8.91151971821256e-05
2,14,"NW",0.000302388452681798
3,7,"GM",0.00236761098216455
3,7,"LL",0.00052643531159102
3,7,"NW",0.00152039006540876
3,10,"GM",0.00240585865589757
3,10,"LL",0.000308073085561383
3,10,"NW",0.00103555246912079
3,14,"GM",0.00186209157729311
3,14,"LL",0.000222439361125295
3,14,"NW",0.000632043991128506
1,7,"GM",0.000547092668833894
1,7,"LL",4.24828734501865e-05
1,7,"NW",0.000249144415028936
1,10,"GM",0.000376533423050171
1,10,"LL",3.26673984957046e-05
1,10,"NW",0.000192960894954765
1,14,"GM",0.000413232939013427
1,14,"LL",2.55727810794227e-05
1,14,"NW",0.000135230499065819
2,7,"GM",0.00137152701562595
2,7,"LL",0.000211719873118806
2,7,"NW",0.000736850437572883
2,10,"GM",0.00104150976443528
2,10,"LL",0.000135315013931864
2,10,"NW",0.00051613713546487
2,14,"GM",0.00119304421777107
2,14,"LL",8.80844869636457e-05
2,14,"NW",0.000338903492010154
3,7,"GM",0.00235514346000051
3,7,"LL",0.000625809444455606
3,7,"NW",0.00132323399709411
3,10,"GM",0.00171532723994503
3,10,"LL",0.000390369929680929
3,10,"NW",0.000801287713810815
3,14,"GM",0.0016524743978887
3,14,"LL",0.00022014467247534
3,14,"NW",0.000417358041929533
1,7,"GM",0.00051371966707111
1,7,"LL",3.92412744153093e-05
1,7,"NW",0.00024681156122455
1,10,"GM",0.000471871427501846
1,10,"LL",3.51994115634496e-05
1,10,"NW",0.000189764311425091
1,14,"GM",0.000308828875139553
1,14,"LL",2.32690925028012e-05
1,14,"NW",0.000135662360752557
