"j","k","method","ISE_MC"
1,7,"GM",0.0015556327939082
1,7,"LL",0.000283384985279325
1,7,"NW",0.000850633254504184
1,10,"GM",0.000973747476692663
1,10,"LL",0.000176019659645936
1,10,"NW",0.000611709097101016
1,14,"GM",0.000768188224563136
1,14,"LL",0.000116416210129663
1,14,"NW",0.000409497880321169
2,7,"GM",0.00544239002387224
2,7,"LL",0.000810837056816628
2,7,"NW",0.00316693955237577
2,10,"GM",0.00475810162344443
2,10,"LL",0.00058018589488919
2,10,"NW",0.00180968449284566
2,14,"GM",0.00388978715248265
2,14,"LL",0.000398247475595228
2,14,"NW",0.0010482655574348
3,7,"GM",0.00366115159352276
3,7,"LL",0.0003627994442308
3,7,"NW",0.00178043488328288
3,10,"GM",0.0026702004205277
3,10,"LL",0.000239744479500264
3,10,"NW",0.00123406591241086
3,14,"GM",0.00223626992623206
3,14,"LL",0.000143780653764917
3,14,"NW",0.000740805124455674
1,7,"GM",0.00153166879256855
1,7,"LL",0.000293058414671822
1,7,"NW",0.00081921300228982
1,10,"GM",0.00111570750040676
1,10,"LL",0.000183056086811999
1,10,"NW",0.000588537405635879
1,14,"GM",0.00076926859756717
1,14,"LL",9.67697606678047e-05
1,14,"NW",0.000381559793992982
2,7,"GM",0.00528648087708279
2,7,"LL",0.00079970726171637
2,7,"NW",0.00311855011876617
2,10,"GM",0.00495154219980699
2,10,"LL",0.000602182644223719
2,10,"NW",0.00215618455581188
2,14,"GM",0.00319103901292177
2,14,"LL",0.000377493390447516
2,14,"NW",0.00118650129761808
3,7,"GM",0.00408736251915509
3,7,"LL",0.000401637672899535
3,7,"NW",0.00187115811128559
3,10,"GM",0.00287470562043757
3,10,"LL",0.00025760691135738
3,10,"NW",0.00111222311895482
3,14,"GM",0.00231109068859333
3,14,"LL",0.000158033736566597
3,14,"NW",0.000684710635226266
1,7,"GM",0.00158484590412071
1,7,"LL",0.000270579205123967
1,7,"NW",0.000874699554318913
1,10,"GM",0.00127958992274104
1,10,"LL",0.000174930892906401
1,10,"NW",0.000554877805604179
1,14,"GM",0.000811709592620686
1,14,"LL",0.000113916888253073
1,14,"NW",0.000349539392778842
2,7,"GM",0.00489809361992632
2,7,"LL",0.000877790480430002
2,7,"NW",0.00325594262041397
2,10,"GM",0.00470467217449832
2,10,"LL",0.000546550854363379
2,10,"NW",0.00199307736229649
2,14,"GM",0.00319868264057611
2,14,"LL",0.000389059320988289
2,14,"NW",0.00111783840679463
3,7,"GM",0.00350720026748067
3,7,"LL",0.00040833056378983
3,7,"NW",0.00194162569771603
3,10,"GM",0.00326240260721284
3,10,"LL",0.000230714170993289
3,10,"NW",0.00126425668488865
3,14,"GM",0.00239632306055343
3,14,"LL",0.000145239312016659
3,14,"NW",0.000771433462920821
1,7,"GM",0.00144165471220266
1,7,"LL",0.00028119082911591
1,7,"NW",0.000837743683129585
1,10,"GM",0.00126284567576412
1,10,"LL",0.000165901407001585
1,10,"NW",0.000582339974412662
1,14,"GM",0.000818481321559005
1,14,"LL",0.000101870744537896
1,14,"NW",0.000382895038321148
2,7,"GM",0.00506142192012233
2,7,"LL",0.000875193262770081
2,7,"NW",0.00295082520130844
2,10,"GM",0.00451522428679105
