"j","k","method","ISE_MC"
3,14,"LL",0.000145144923774979
3,14,"NW",0.000665127102145824
1,7,"GM",0.00135918368561783
1,7,"LL",0.000273803954775855
1,7,"NW",0.000820286530217755
1,10,"GM",0.00113265483135097
1,10,"LL",0.000175574630574302
1,10,"NW",0.000538261589239779
1,14,"GM",0.000902255934609107
1,14,"LL",0.00010319291923277
1,14,"NW",0.000405750972268954
2,7,"GM",0.00491615513182515
2,7,"LL",0.000890639997845865
2,7,"NW",0.00312003731498915
2,10,"GM",0.00494327128125486
2,10,"LL",0.000579797972766972
2,10,"NW",0.00202312051242059
2,14,"GM",0.00362883623554895
2,14,"LL",0.000402342348933108
2,14,"NW",0.00108595682383024
3,7,"GM",0.00361535026296912
3,7,"LL",0.000390881754273642
3,7,"NW",0.00202943764493049
3,10,"GM",0.00287551014098346
3,10,"LL",0.000228443343507798
3,10,"NW",0.00124901747655897
3,14,"GM",0.00258082625359415
3,14,"LL",0.000156488636719078
3,14,"NW",0.000664923455544015
1,7,"GM",0.00129153965740485
1,7,"LL",0.000281473328224318
1,7,"NW",0.000799097872126866
1,10,"GM",0.00111156464518371
1,10,"LL",0.000159174019915239
1,10,"NW",0.000599369274554505
1,14,"GM",0.000854286701212235
1,14,"LL",0.000107463985432331
1,14,"NW",0.000378058665277501
2,7,"GM",0.00568077690148851
2,7,"LL",0.000843183214707726
2,7,"NW",0.00315540399606016
2,10,"GM",0.00452412976977653
2,10,"LL",0.000580099059576489
2,10,"NW",0.00179241471092704
2,14,"GM",0.0039818569100244
2,14,"LL",0.00037065203158991
2,14,"NW",0.00103104548297841
3,7,"GM",0.00394746693120046
3,7,"LL",0.000379150787570104
3,7,"NW",0.00210920833627494
3,10,"GM",0.00261002232982055
3,10,"LL",0.000248972778044053
3,10,"NW",0.00112881280256534
3,14,"GM",0.00227064699151107
3,14,"LL",0.000149860070097061
3,14,"NW",0.000653182387785532
1,7,"GM",0.00155572897469435
1,7,"LL",0.000279218918208586
1,7,"NW",0.000827566510422279
1,10,"GM",0.00122456789661705
1,10,"LL",0.000161997887989395
1,10,"NW",0.000591650151584335
1,14,"GM",0.00090025840008247
1,14,"LL",0.000110086077809073
1,14,"NW",0.000393681230307895
2,7,"GM",0.00538925223979004
2,7,"LL",0.000843505097821601
2,7,"NW",0.0028697988012501
2,10,"GM",0.00482252693327128
2,10,"LL",0.000577402330013463
2,10,"NW",0.00180560128139246
2,14,"GM",0.00411032583861623
2,14,"LL",0.000375634470313193
2,14,"NW",0.00116587164466902
3,7,"GM",0.00352895543794979
3,7,"LL",0.000414390244107972
3,7,"NW",0.00200097938386422
3,10,"GM",0.00321818510699866
3,10,"LL",0.000244169129914892
3,10,"NW",0.00124549194932173
3,14,"GM",0.00236040190370861
3,14,"LL",0.000135372982112485
3,14,"NW",0.000682557771821622
1,7,"GM",0.00138860018244078
1,7,"LL",0.000288542376829818
1,7,"NW",0.000930303577192982
1,10,"GM",0.00121305068327828
1,10,"LL",0.000170814548290347
1,10,"NW",0.000544037373664232
1,14,"GM",0.00102556770733255
1,14,"LL",0.000105077284767118
1,14,"NW",0.000398676160420671
2,7,"GM",0.00584537138367082
2,7,"LL",0.00080298224080229
2,7,"NW",0.00306275128328666
2,10,"GM",0.00471181808625171
2,10,"LL",0.000562871433540884
2,10,"NW",0.00183606999021352
2,14,"GM",0.00387040004880986
2,14,"LL",0.000398139811743786
2,14,"NW",0.00105379625173581
3,7,"GM",0.00389237671031737
3,7,"LL",0.000396205552410749
3,7,"NW",0.00191609322186545
3,10,"GM",0.00250986801968285
3,10,"LL",0.000242243944946134
3,10,"NW",0.00126882081217676
3,14,"GM",0.00232234888253761
3,14,"LL",0.000139341684250174
3,14,"NW",0.000609130671261425
1,7,"GM",0.00120342395251007
1,7,"LL",0.000281761236363751
1,7,"NW",0.000782481868931997
1,10,"GM",0.00113432821991739
1,10,"LL",0.000176368649364174
1,10,"NW",0.000552552639087602
1,14,"GM",0.00104600755538602
1,14,"LL",0.000106570112719947
1,14,"NW",0.000384218562285938
2,7,"GM",0.00555021600882022
2,7,"LL",0.000895782438779833
2,7,"NW",0.00288130441363715
2,10,"GM",0.00454185875426246
2,10,"LL",0.000567230793209494
2,10,"NW",0.00196795666837014
2,14,"GM",0.00371500130246897
2,14,"LL",0.000371953414688578
2,14,"NW",0.00106246194968279
3,7,"GM",0.00403060347522072
3,7,"LL",0.000376654295289012
3,7,"NW",0.00185956702053023
3,10,"GM",0.00293748463044195
3,10,"LL",0.000246849349068047
3,10,"NW",0.0011050331331174
3,14,"GM",0.00233900940101635
3,14,"LL",0.000148937409349271
3,14,"NW",0.000644542039375564
1,7,"GM",0.00145757985511005
1,7,"LL",0.00029147905687479
1,7,"NW",0.000823804355337199
1,10,"GM",0.00101824213580549
1,10,"LL",0.000161690509200297
1,10,"NW",0.000608593871931398
1,14,"GM",0.000682813197072192
1,14,"LL",0.000104628644164878
1,14,"NW",0.000379290147478517
2,7,"GM",0.00557666219743181
2,7,"LL",0.000834223085614523
2,7,"NW",0.00327955647442961
2,10,"GM",0.00366302958485883
2,10,"LL",0.000542392326442974
2,10,"NW",0.002027415545764
2,14,"GM",0.00311985435600141
2,14,"LL",0.00040157092479069
2,14,"NW",0.00107928376753766
3,7,"GM",0.00657178649152587
3,7,"LL",0.000347477008137532
3,7,"NW",0.00190878792309635
3,10,"GM",0.00272093579730189
3,10,"LL",0.000242909777990826
3,10,"NW",0.00128478174843532
3,14,"GM",0.00256352389786958
3,14,"LL",0.000135441851129297
3,14,"NW",0.000614532604734517
1,7,"GM",0.00133458790259696
1,7,"LL",0.00030492269892855
1,7,"NW",0.000910161522580655
1,10,"GM",0.00109729820205213
1,10,"LL",0.000170717504201731
1,10,"NW",0.000546159184101896
1,14,"GM",0.00088706950406367
1,14,"LL",9.9555791897278e-05
1,14,"NW",0.000378448193214185
2,7,"GM",0.00800717127495887
2,7,"LL",0.000868005148510464
2,7,"NW",0.00329327579224697
2,10,"GM",0.00456665445296274
2,10,"LL",0.000597573683560055
2,10,"NW",0.00178446362436918
2,14,"GM",0.00358636638263193
2,14,"LL",0.000397118563187487
2,14,"NW",0.00105624405330227
3,7,"GM",0.00469583182257851
3,7,"LL",0.000387215065762506
3,7,"NW",0.00201462347259167
3,10,"GM",0.00277033307908187
3,10,"LL",0.000237286924560342
3,10,"NW",0.00125810235483383
3,14,"GM",0.00378366849572132
3,14,"LL",0.00014119882729278
3,14,"NW",0.000641899022830201
1,7,"GM",0.0014040606898613
1,7,"LL",0.000302830359943709
1,7,"NW",0.000892647115179848
1,10,"GM",0.00112705967775429
1,10,"LL",0.000170910610697307
1,10,"NW",0.000604588797014757
1,14,"GM",0.000950145675257374
1,14,"LL",0.000116207866599157
1,14,"NW",0.000390230501713834
2,7,"GM",0.00465932111040915
2,7,"LL",0.000777781535752965
2,7,"NW",0.00318583240452926
2,10,"GM",0.00518807006839786
2,10,"LL",0.00062515367955938
2,10,"NW",0.00201341655581934
2,14,"GM",0.00403216146077685
2,14,"LL",0.000391492193586339
2,14,"NW",0.00110962773436532
3,7,"GM",0.00376779183944485
3,7,"LL",0.000365153632338105
3,7,"NW",0.00180229970241786
3,10,"GM",0.00267117471866839
3,10,"LL",0.000243115926571762
3,10,"NW",0.00125773721776704
3,14,"GM",0.00228940062853898
3,14,"LL",0.00014468377484237
3,14,"NW",0.000630241675721504
1,7,"GM",0.00143938399927174
1,7,"LL",0.000293792301642812
1,7,"NW",0.000902404000117851
1,10,"GM",0.001082786274355
1,10,"LL",0.000166704944371627
1,10,"NW",0.000597814749575775
1,14,"GM",0.000762160845985122
1,14,"LL",0.00010237270829541
1,14,"NW",0.000399871179868065
2,7,"GM",0.00562782939080304
2,7,"LL",0.000903337210986761
2,7,"NW",0.00316203708678075
2,10,"GM",0.00461434706715236
2,10,"LL",0.000596107394538047
2,10,"NW",0.00190161468400378
2,14,"GM",0.00423215121987259
2,14,"LL",0.000384403506491423
2,14,"NW",0.0011596433441673
3,7,"GM",0.00382537806416765
3,7,"LL",0.000388928015056456
3,7,"NW",0.00190390384222178
3,10,"GM",0.00415962358861293
3,10,"LL",0.000232666926780619
3,10,"NW",0.00129211149138574
3,14,"GM",0.00222060747665993
3,14,"LL",0.000151229014314753
3,14,"NW",0.000659992853397238
1,7,"GM",0.00127143384097459
1,7,"LL",0.000290390285901437
1,7,"NW",0.000790313958294083
1,10,"GM",0.0009141168956579
1,10,"LL",0.000165073763754133
1,10,"NW",0.000527043276075397
1,14,"GM",0.000747498726805596
1,14,"LL",0.000103908305722783
1,14,"NW",0.000406187857346926
2,7,"GM",0.00521420533812442
2,7,"LL",0.000816546590802006
2,7,"NW",0.00314715243637902
2,10,"GM",0.00470679469573642
2,10,"LL",0.000546639123539321
